matricule,first_name,last_name,date_naiss,gender,ministry,grade,diff_recens,diff_conges,diff_travail,actif
910976-K,Teddi,Chmiel,4/30/1994,Female,MINSUP,B,23520875,5184847,531862304,1
625854-X,Valma,Walkley,7/12/1982,Female,MINEDUB,B,19808107,3741954,668327396,0
399582-J,Skell,Halloway,12/25/1993,Male,MINREX,D,6259151,1796102,1340380675,0
204670-E,Hedy,Brownhill,1/28/1997,Female,MINFI,B,18572030,4029193,1451228868,1
940966-H,Ninon,Edis,4/26/1983,Female,MINSEC,C,1282799,36818,1619163638,1
959984-O,Celestia,Cammell,9/19/2000,Female,MINEDUB,C,5771756,2554565,860075073,1
294299-F,Stavro,Whitcombe,4/2/1974,Male,MINSEC,B,9819962,2498949,1318022343,1
306594-W,Perry,Gramer,5/20/1999,Female,MINCOM,D,25319137,3849883,1721854055,1
883731-E,Darsie,Brahm,9/2/1988,Female,MINSEC,C,2609624,4795538,722943479,0
123135-G,Gillian,Klisch,3/8/1992,Female,MINSUP,A,5699214,3951361,1886998905,1
723360-B,Aretha,Deares,4/28/2000,Female,MINFI,C,19754574,1827115,1716212376,1
298289-A,Chickie,Dillimore,11/6/1982,Female,MINSUP,D,24857871,1607965,397332861,1
825662-N,Paton,Wimmers,5/15/2001,Male,MINFI,D,12580369,4411088,1137814092,0
532652-V,Stanley,Gregoretti,4/18/1995,Male,MINCOM,C,10919676,2144144,185670166,1
547515-R,Tobi,Stickels,9/1/1994,Female,MINFI,C,27498465,5986120,1809463667,1
080174-U,Marna,Crowson,5/13/1992,Female,MINSUP,A,1939631,1101197,1326939699,1
510460-B,Dell,Crilley,5/14/1976,Female,MINSEC,D,11234140,3743034,1927797539,0
916174-C,Abdel,Yurkov,2/15/1984,Male,MINREX,A,1748162,2502796,42103964,1
276663-F,Lawrence,Rehorek,8/22/1987,Male,MINFI,D,14387142,2818455,1443015064,0
579688-R,Port,Smithies,1/13/2002,Genderfluid,MINREX,A,13835195,653719,478918374,1
497232-O,Ingelbert,Demange,3/9/2001,Male,MINREX,C,27984954,229490,1972569049,0
445046-P,Homerus,Hulme,4/9/1996,Male,MINFI,D,29788068,2069280,720602936,1
575164-C,Gwendolen,Goosey,12/19/1976,Female,MINREX,C,21099877,4799823,942463725,0
688211-X,Gregor,Accomb,6/16/1981,Male,MINCOM,C,11471366,456700,705356883,0
627594-Q,Giorgio,Ivanishin,3/6/1973,Male,MINFI,B,5658305,5308605,1858055491,0
584982-F,Kirby,Juszczak,2/1/2001,Female,MINSEC,B,18661820,830464,306998111,0
129706-S,Jenna,Beament,6/23/1987,Female,MINCOM,B,16228849,2788017,879824126,1
400341-L,Jobie,McAneny,10/6/2001,Female,MINSEC,D,4717572,5026111,1765037008,1
227029-E,Reynolds,Kingsnorth,8/17/1988,Male,MINSUP,D,860493,523899,1546709898,1
969145-G,Ulric,Summerell,1/11/1985,Male,MINREX,A,1417266,635123,891438962,1
247974-A,Austin,Farry,4/17/1980,Male,MINFI,D,22294836,4647915,979025211,0
590870-D,Ellyn,Base,12/10/1988,Female,MINCOM,A,5375099,2283501,1288237654,1
132819-O,Forester,Snodin,1/13/1995,Male,MINEDUB,C,3765666,4765762,1917078586,1
535382-C,Dunstan,Minifie,12/17/1976,Male,MINEDUB,B,19581742,4498545,1346227448,1
477445-C,Alexia,Hourahan,9/1/1983,Female,MINFI,A,1892912,5336688,1544462991,1
482669-S,Heath,Dorward,12/15/1976,Genderqueer,MINSUP,C,13858500,749464,1196799365,0
685278-N,Dulcia,Klimowski,12/26/1997,Genderfluid,MINSEC,A,20557665,5470699,566802100,0
880661-T,Zackariah,Tyrer,1/24/1989,Male,MINSUP,D,5529558,141456,881653217,0
631554-I,Shaughn,Seage,5/21/1988,Male,MINREX,A,19108929,1920669,1077259560,0
447963-H,Bernete,Beals,10/5/1981,Female,MINSUP,C,25809691,5344169,1733410342,1
122345-H,Franz,Lewry,3/13/1998,Male,MINSUP,C,7588029,5141553,1460794095,1
743239-K,Noe,Charette,1/27/1988,Male,MINEDUB,A,18360533,5182854,1831586924,0
717108-U,Sylas,Henrique,10/5/1998,Male,MINCOM,B,1258751,5405549,1422642468,1
767261-Y,Saba,Grayshan,8/11/1984,Female,MINCOM,A,5996867,3140209,1893648711,1
965105-U,Adair,Gersam,11/23/2001,Male,MINEDUB,B,28134199,5826248,924452968,0
955222-S,Hussein,Valder,6/8/1984,Male,MINSUP,D,3641438,2207019,1415982411,0
891112-U,Alic,Wringe,9/10/2001,Male,MINSUP,D,13027020,1939251,1998982655,1
133713-I,Alard,Dukes,6/27/1998,Male,MINFI,C,21064018,3182205,337564300,1
591657-E,Colver,Hubberstey,4/12/1978,Male,MINSUP,B,14241789,401355,357452114,1
712113-X,David,Ferres,7/29/1989,Male,MINCOM,C,5294064,1823544,1706093482,1
942569-H,Michaella,Jemmison,2/11/1996,Female,MINFI,B,22799226,4265436,1383280933,0
738215-D,Anita,Harpur,1/13/2002,Female,MINEDUB,D,25439910,5682986,1171460206,0
911183-R,Ambrosius,Raoux,7/16/1991,Male,MINSUP,A,5043132,5273548,1611834407,0
479430-M,Anallise,Cunde,11/5/1977,Female,MINSUP,B,29372373,4269910,647810862,1
722327-T,Tyne,Penfold,12/28/1986,Female,MINSEC,C,21218979,4457340,1063489639,1
599066-E,Colet,Ransfield,11/28/1975,Male,MINFI,A,13525783,740421,511836499,0
719887-G,Flory,Seven,2/6/1996,Male,MINCOM,A,24843457,3108008,229796536,0
243014-Z,Adrea,Hardway,6/28/1980,Female,MINSEC,C,14923453,2114011,525507841,0
478494-Z,Isak,Hughes,5/16/1998,Male,MINSEC,A,14885581,5687707,1082683477,1
026873-F,Swen,Skudder,1/26/1983,Male,MINFI,C,181015,4740733,1681079756,1
007429-C,Rollin,Ead,3/13/1970,Male,MINFI,A,22985940,1037081,677536183,0
781167-U,Giffy,Albrook,10/14/1999,Male,MINSUP,C,6536776,1006908,933371927,1
382693-U,Di,Brockway,6/26/1972,Female,MINSEC,D,6769124,2711995,161408318,1
412525-C,Lena,Woolens,9/28/1985,Female,MINFI,B,1149289,4134583,201871119,1
777131-Y,Celestia,Weald,10/3/1970,Genderqueer,MINREX,B,28653603,5166137,970030695,0
773156-X,Steven,Shivell,2/26/1979,Male,MINSUP,B,12289101,1839902,180826369,1
581112-U,Martyn,Kitchin,11/14/1978,Male,MINEDUB,D,9243737,1337056,236021077,1
095502-O,Jeanne,Crossfeld,11/27/1985,Female,MINEDUB,D,1245547,5176447,792500959,0
542931-F,Justis,Morriss,2/13/2001,Male,MINSEC,A,3873507,846879,383025925,0
376470-S,Ermin,Roberts,2/18/2001,Male,MINCOM,A,9653214,826717,446333266,1
894887-B,Nicolette,Jouhandeau,12/1/1988,Female,MINFI,C,22573187,5939740,297152506,1
956852-H,Madelaine,McGibbon,8/31/2001,Female,MINSEC,A,19463085,5255667,1470232782,1
672317-W,Donetta,Kliner,8/12/1977,Female,MINSEC,B,26712872,4593494,1591464706,0
414489-E,Sandy,Raper,1/19/1997,Female,MINFI,B,7612435,5650047,792970489,1
978817-W,Estrella,Gueste,7/25/1992,Female,MINSUP,B,6940019,1339664,1721056995,0
589579-V,Norean,Groocock,8/28/1997,Female,MINCOM,C,22771384,513448,923838567,1
573282-H,Tilly,Amer,2/16/1987,Female,MINCOM,A,9910484,3145695,136795650,1
228937-R,Fields,Woolerton,10/25/1976,Male,MINEDUB,B,23459184,2927542,212015657,0
440646-D,Melina,Lanceley,6/5/1999,Genderfluid,MINREX,B,12947823,1290723,47372563,1
660749-V,Konstanze,Tyt,10/3/1973,Genderqueer,MINCOM,D,11524549,5581342,998628702,0
689340-Q,Dasie,Fitzharris,6/15/1977,Female,MINCOM,B,1751884,4814519,831704206,1
047460-Z,Carey,McIan,9/6/1993,Male,MINSEC,D,4408090,1301398,1662180776,0
457902-P,Gabrielle,Brimilcome,2/29/2000,Female,MINSUP,B,26167296,4561992,862644507,0
197319-Z,Chelsae,Hort,9/8/2001,Female,MINEDUB,B,15043344,1613078,1821376075,1
354165-Y,Lauri,Darcy,9/26/1995,Female,MINREX,D,13229226,5977967,1844641514,1
065499-C,Simeon,Frise,11/30/1991,Agender,MINFI,D,21181454,4861176,544471680,0
911669-G,Natividad,Foskew,5/26/1987,Female,MINREX,B,20091090,1877064,1290838828,1
709742-B,Danyette,O'Finan,4/27/1973,Female,MINREX,C,2644294,2137590,701663673,0
680546-L,Mohammed,Casali,2/14/1981,Male,MINCOM,D,28450362,4304791,289959435,1
548453-N,Des,Strutley,8/5/1989,Male,MINCOM,A,18633960,4077787,48773560,1
141863-V,Homerus,Suttling,8/27/1996,Male,MINFI,A,2448381,4921373,1980352862,1
585756-J,Gwen,Litton,7/1/1997,Female,MINSUP,A,2688868,176558,4557253,0
615415-Y,Valentine,Rust,8/8/1986,Female,MINREX,C,6729294,3799607,1352637873,1
712855-N,Melisa,Ruvel,4/20/1979,Female,MINFI,B,21186413,2276125,1495824743,1
075777-I,Vivien,Fawbert,6/19/1995,Female,MINFI,C,3360677,2659094,972990029,1
391608-F,Carney,Retallick,6/16/1979,Male,MINSEC,B,8622550,2863710,537688947,0
185644-F,Kayne,Quan,9/15/1985,Male,MINEDUB,B,6818797,430756,1194776508,1
659762-D,Bruce,Veronique,10/1/1975,Male,MINSUP,D,19268884,4301551,691385590,0
945631-H,Carolynn,Hubane,6/5/1996,Female,MINSUP,A,25183561,510083,615133572,0
453766-H,Benny,Stearns,8/20/1981,Male,MINCOM,D,7601168,4949730,262756703,1
312586-T,Kelley,Elijah,2/18/1981,Female,MINFI,D,18070454,2602118,1955177274,0
306605-D,Maryanne,Edgley,1/8/1987,Female,MINFI,A,15181175,5084820,1380085711,1
734791-J,Esra,Lysaght,2/7/1999,Male,MINSUP,B,9115417,1130701,1044841812,0
944255-X,Mureil,Lago,11/13/1994,Female,MINCOM,D,18798191,5147035,1546772532,1
556589-D,Maximilianus,Warriner,1/1/1999,Male,MINEDUB,C,27400609,622704,836641929,1
426819-B,Leanor,Ewer,12/4/1996,Female,MINFI,C,2785016,3692884,1462761924,0
459025-M,Dene,McCarlich,1/11/1996,Bigender,MINSUP,B,6393189,1960991,1031916320,1
591375-T,Cross,Ebenezer,5/28/1989,Male,MINREX,B,18289956,1056888,1145456355,1
720114-B,Gunter,Berndt,6/30/1989,Male,MINSUP,A,10694185,3637315,1448353538,0
284769-Q,Tamma,Canellas,7/4/2002,Female,MINSEC,A,21548717,3762637,477339679,1
044313-W,Yolande,Sara,2/9/2001,Female,MINCOM,C,6543943,5118991,622690280,0
872475-K,Erick,Mikalski,5/29/1973,Male,MINEDUB,B,25979752,3997432,1576039623,0
228532-X,Kassi,Penritt,4/4/2002,Female,MINFI,D,19409300,2942390,1339329771,1
406991-P,Hilarius,Volant,2/27/1974,Male,MINEDUB,B,22576468,1906257,1903942678,1
744207-F,Letta,Chismon,4/8/1996,Female,MINREX,C,16383834,1640105,32988712,0
469627-K,Fair,Haney,6/18/1993,Male,MINREX,C,22239833,1630744,58005763,0
922786-X,Mahmud,Cogar,3/27/1999,Male,MINEDUB,A,8897922,5071306,1764705843,1
326593-X,Tani,Gilderoy,5/22/1987,Female,MINEDUB,B,28436053,3009194,184930413,0
966665-W,Roxie,Jickles,12/16/1979,Female,MINCOM,C,7748144,507509,797783178,1
921027-O,Jori,Aldin,6/2/1988,Genderfluid,MINFI,B,11248116,3718961,1271601136,0
108100-F,Leopold,Lomansey,7/7/1987,Male,MINEDUB,B,4627398,5881674,879469025,0
985393-V,Jeanette,Triswell,4/11/1978,Female,MINCOM,D,5968522,12690,1064031006,1
684564-X,Chariot,Boffin,9/13/1998,Male,MINSUP,B,15341289,3279953,1644557138,1
571333-E,Abby,Ruck,3/28/1991,Female,MINREX,B,5524755,5439618,44477554,0
715843-C,Zorah,Honnan,1/26/1981,Female,MINREX,D,14494502,688467,1912820473,0
155679-H,Sibel,De Meis,7/12/2001,Bigender,MINFI,D,6744841,1723666,1103159350,1
543454-R,Constantin,Girtin,4/14/2002,Non-binary,MINSEC,A,16634864,5699479,1763924269,0
859972-W,Temple,Barson,2/7/1996,Agender,MINFI,D,7230663,155675,973795390,1
255544-S,Sidonia,Abbey,2/5/1972,Female,MINSUP,B,28050197,2990288,520916750,0
759693-H,Micky,Harriman,2/23/1990,Female,MINFI,B,21438390,5283546,1401668427,1
260012-D,Cassius,Sturge,2/15/1989,Male,MINEDUB,A,14986403,3075633,1581256094,0
668762-L,Aindrea,Paddefield,4/16/1999,Female,MINSEC,D,9303879,603312,117986310,0
478436-S,Teddie,Plumptre,2/16/1985,Female,MINCOM,D,28306148,5681149,1846674931,0
117075-V,Halie,Ferrarotti,6/10/1972,Female,MINSEC,D,6441547,3176666,5108597,1
064675-H,Merry,Maus,9/21/1994,Bigender,MINEDUB,B,26014403,5022054,1350846100,1
237487-X,Woodrow,Leverson,4/15/1982,Male,MINCOM,C,6576888,4001086,1693771282,1
337838-S,Everard,Phripp,3/23/1998,Non-binary,MINEDUB,D,3734052,4267399,846681073,1
260315-L,Pacorro,Graine,9/10/1982,Male,MINSUP,B,22003808,2661641,1689740842,1
598666-N,Walt,Dignall,10/31/1994,Male,MINFI,A,24630017,2729188,1757877916,0
797701-S,Delcine,Brims,1/5/1970,Female,MINREX,C,4381220,4861658,1528325017,0
063817-S,Ariana,Cassedy,1/6/1978,Female,MINEDUB,C,7762379,2540786,1388915079,0
325664-U,Skipper,Smiths,9/12/1992,Male,MINSUP,D,21230368,1479355,1110636929,1
236066-A,Willard,Boylin,12/1/1998,Male,MINEDUB,D,13594411,1957470,998553634,0
819323-L,Adamo,Gilhooley,3/15/1976,Male,MINFI,C,72220,5406696,1375732920,0
860124-N,Denys,Sussex,3/13/1996,Male,MINFI,B,7365983,3543949,316804996,1
546652-T,Langston,Circuitt,12/21/1990,Male,MINEDUB,C,21374016,3882990,516684508,1
118774-C,Donnamarie,Hourahan,3/24/1997,Female,MINREX,A,26985700,4778419,172682685,1
718269-I,Lorilyn,Skough,6/15/1979,Female,MINEDUB,A,17316037,2779632,1788434514,1
015856-P,Rey,MacEvilly,7/2/1996,Male,MINSUP,D,6633690,3510979,1143981217,0
482713-S,Barnett,Nicholl,8/25/1997,Male,MINFI,A,8642642,2349791,1845333507,1
676276-R,Kelby,Hathaway,7/20/2000,Male,MINSEC,A,15827482,2541940,861540445,0
737385-V,Celine,Cureton,3/27/1986,Female,MINEDUB,B,29589182,1205971,1405910069,1
521309-F,Nettie,Drinkall,5/8/1999,Female,MINREX,A,18857603,631333,585680538,1
832922-Q,Lissi,Maharg,5/10/2002,Female,MINSUP,D,11019242,869542,591530580,0
236238-W,Alta,Riddiford,10/16/1999,Bigender,MINEDUB,B,1268692,3010069,1254458029,1
275124-E,Peta,McLarty,3/15/1984,Female,MINCOM,C,26439825,1630412,877283377,1
620369-Q,Irvin,Coyte,5/3/1975,Male,MINEDUB,B,11158620,72531,600149084,0
481344-O,Cleavland,Synke,10/26/1985,Male,MINFI,C,8314137,2342303,730368540,0
927167-J,Emera,Baldree,3/21/1985,Female,MINREX,C,7014946,2095192,1539081253,1
874623-Q,Mayne,Teager,6/26/1995,Bigender,MINREX,D,23396231,2607601,1119108205,0
901123-B,Nikolai,Tickel,1/13/1996,Male,MINSUP,B,15153287,1936358,1130102168,1
848251-F,Bron,Leroux,9/21/1978,Male,MINFI,C,20977759,1147527,495227419,0
503785-F,Leeann,Egleton,6/21/1972,Female,MINSUP,A,12567778,1131285,390312474,0
280264-V,Jordana,Bartaloni,7/28/2000,Female,MINSEC,B,6933406,5494594,501383931,1
033480-M,Cindra,Niland,10/15/1985,Female,MINCOM,B,5380294,3631621,1473622443,1
710881-F,Charmane,Rumgay,3/22/1986,Female,MINSEC,D,5003142,1401148,564286736,1
429699-D,Carolyne,Priden,4/7/1993,Female,MINCOM,D,26114351,2317695,646479549,1
310324-A,Willamina,Callacher,12/2/1992,Female,MINCOM,A,16467297,3104856,552621340,1
258434-H,Jeri,McIlraith,3/24/2002,Genderqueer,MINREX,B,8040795,4152550,1975653990,1
335283-A,Jud,Francie,5/29/1983,Genderfluid,MINSUP,D,13120341,2641447,1187108610,0
301477-K,Marius,Pycock,3/2/1999,Male,MINEDUB,A,26175573,4404093,1655820403,1
841718-S,Pembroke,Bailes,9/13/1984,Male,MINREX,A,9296105,1810350,974069045,0
756683-D,Odie,Elnaugh,5/26/1978,Male,MINSEC,D,11438526,1912858,922610315,0
287973-X,Herschel,Le Leu,7/10/1990,Male,MINREX,C,7819380,1595592,1827850049,0
849213-W,Juline,Chaundy,10/7/1985,Female,MINREX,B,28320148,4801743,256128873,0
580995-C,Ethel,Screeton,1/20/1974,Female,MINSEC,B,22267674,4593077,323171792,1
602128-G,Bald,Sandom,3/19/1984,Male,MINEDUB,B,19990281,572069,505326645,0
044075-C,Orsola,Byllam,8/24/1978,Female,MINEDUB,D,4475879,1251567,1895496625,0
539566-C,Darb,Corneck,12/16/1999,Male,MINSEC,C,19378837,2844256,871804052,0
362595-R,Maurita,Cromar,5/17/1984,Female,MINEDUB,B,13416477,4269829,524690708,0
937220-O,Park,Stanmore,10/31/1998,Male,MINCOM,A,6858632,4485063,1606282226,1
024760-U,Bent,Eliet,5/2/1989,Male,MINSEC,A,12649035,3476704,1134361246,1
546456-N,Marigold,Mabe,9/13/1990,Female,MINCOM,B,6729595,119654,1075683099,1
986376-I,Rolfe,Kastel,7/16/1977,Genderqueer,MINEDUB,D,22622904,3894505,1305595209,1
841569-L,Lizette,Soigoux,4/18/1970,Female,MINFI,C,27837934,5786163,43701941,0
781571-P,Craggie,Lotwich,6/9/1987,Male,MINSUP,D,16813786,3241329,1753797330,0
725597-X,Maritsa,De La Salle,7/6/1992,Female,MINEDUB,A,675462,4140029,1330252326,1
975553-T,Sherwin,Hukin,12/30/1978,Male,MINREX,A,19066594,5098308,1136643530,1
008676-Z,Kalle,Gladbach,9/28/1977,Male,MINFI,D,2166666,370728,82328205,1
239430-A,Granville,Havers,11/9/2002,Male,MINFI,C,317465,3221534,1309251476,0
644542-O,Nial,Zavattiero,10/19/1998,Male,MINSUP,D,12463539,3873113,629901175,1
318411-K,Madella,Vidgeon,10/30/1997,Female,MINCOM,A,8000861,5416579,1624041280,1
824440-E,Vivyanne,McHenry,9/1/1970,Polygender,MINSEC,A,4003038,5543359,916495086,1
869532-C,Donelle,MacCrachen,3/10/1991,Female,MINREX,B,27265008,857971,1974775181,1
067174-I,Brock,Thormwell,5/22/1981,Male,MINREX,A,11596957,792589,1512041217,0
435626-I,Merilee,Salvatore,2/3/1996,Female,MINFI,A,7023779,337734,1680139613,1
849835-V,Cathlene,Binham,4/25/1989,Female,MINSEC,D,21262911,2179264,280993567,0
698723-V,Heinrik,Espinoy,8/6/1995,Male,MINCOM,B,2369479,1449249,10714380,0
623462-P,Sandye,Leverett,1/28/1972,Genderfluid,MINSEC,C,5786010,2688428,1380767617,0
596762-W,Bendick,Piscotti,10/16/1983,Male,MINCOM,D,12609319,1652348,1847934634,1
483825-D,Nevin,Wenman,8/10/1987,Male,MINREX,D,20761939,1547459,1379958937,1
829505-Y,Gerhardine,Bilston,9/12/1988,Female,MINEDUB,A,19783144,4411614,1889479465,0
803678-Z,Elbertine,Boij,8/27/1972,Female,MINREX,B,24908285,891320,695838664,1
371591-F,Gisella,Kenen,4/2/1980,Female,MINCOM,A,24221319,5456371,1277634992,1
576224-H,Cami,Provis,2/8/1990,Female,MINSUP,D,23331484,5776201,371682898,1
055813-L,Brandtr,De Nisco,7/31/1999,Male,MINSUP,B,8568552,739447,1696144935,0
527225-A,Idalina,Thurstan,2/28/1993,Female,MINSUP,A,8224703,751558,1316825255,0
590124-E,Clemmie,Cohalan,2/7/1972,Male,MINREX,D,13250903,5490685,1783758801,0
575139-N,Querida,Alessandone,10/20/1977,Female,MINSUP,B,4799519,2296257,805646811,0
480514-O,Zackariah,Cove,12/26/1986,Male,MINSUP,C,1826786,5096151,1380949908,0
372138-R,Paola,Wyeld,11/18/2000,Female,MINEDUB,A,25480199,476187,46256177,0
605727-Z,Anna-diane,Collier,8/23/1994,Female,MINSUP,A,6091961,2127219,217539186,1
876623-E,Pietra,Storry,2/21/1989,Genderfluid,MINCOM,B,27110580,292591,449518733,0
460952-X,Harriett,Kingzet,9/13/1976,Female,MINSUP,C,23838537,3290132,417120245,0
558194-E,Cobbie,De Freyne,3/23/1996,Male,MINEDUB,D,29721904,4498305,760978355,1
193924-C,Brand,Hofner,10/22/1970,Male,MINFI,A,6531076,52767,168864934,0
961723-M,Liam,Counihan,10/8/1980,Male,MINSEC,C,25528822,4091915,318289823,0
246405-K,Standford,Perassi,4/8/1971,Male,MINFI,D,13696122,4112250,1938167517,1
145626-U,Deeanne,Goodfellow,6/25/1976,Female,MINSUP,D,19570889,5136965,1110527523,1
436273-M,Audre,Thurlbourne,4/4/1983,Female,MINSEC,D,28468910,4544585,267022050,1
778579-C,Norby,Umpleby,2/24/1972,Genderqueer,MINFI,C,23450520,462263,1966540176,0
293653-O,Mindy,Concannon,1/21/2001,Female,MINCOM,A,5416090,2569316,688217783,0
103007-E,Mariska,Glashby,6/1/1993,Female,MINEDUB,D,20805059,2703452,1876380014,1
992873-P,Cass,Zanetti,1/23/1977,Female,MINCOM,A,9508979,4022897,1672466219,0
082675-Y,Deeanne,Erni,11/23/1991,Female,MINSEC,C,17427444,4234758,1862208110,0
743198-K,Anny,Harvatt,6/15/1980,Female,MINREX,D,11208559,1244519,1009563225,1
915699-D,Sutherlan,Richie,8/28/1997,Male,MINSUP,D,24988728,1891536,741120472,1
080599-U,Iggy,Guilloton,9/28/1998,Male,MINFI,A,315352,5327000,677004564,0
828116-C,Lurline,Manston,5/20/1987,Female,MINSEC,B,22140198,1404500,920859962,1
723647-R,Court,Warrillow,11/16/1993,Male,MINCOM,C,10509875,1920073,319964712,1
409719-I,Lydia,Lordon,4/29/1978,Female,MINEDUB,A,3668636,4046591,1119032963,1
431742-U,Willem,Wadie,7/2/1989,Male,MINSEC,C,5556702,1568774,1483519070,1
100919-L,Arlen,Mathys,5/16/1999,Female,MINREX,D,27057501,4563158,1382835076,0
442587-D,Augusta,Press,12/12/1978,Female,MINREX,A,7161095,3350990,1051322676,1
950390-H,Arabela,Donohoe,5/30/1998,Female,MINCOM,D,11742030,614650,359221090,0
684138-R,Tiler,Norsworthy,5/9/1970,Male,MINREX,B,25983200,4176373,1131398175,0
592626-U,Lynnette,Emerson,12/7/1980,Female,MINCOM,C,11799850,1098434,428533156,0
131958-N,Rosamund,Bedenham,1/14/2001,Female,MINSUP,B,26747402,4592083,927808938,1
456736-L,Fran,Moulster,9/7/1975,Female,MINSUP,A,2880173,1270741,1635662793,1
111431-G,Elvin,Kroger,6/22/1986,Bigender,MINFI,C,18036025,790349,1091343816,1
769956-J,Livvie,O'Grada,2/17/1977,Female,MINCOM,D,18142730,1745133,1670549283,0
333475-S,Wyatt,Cheshir,8/19/1994,Male,MINFI,A,15698609,5161178,492219315,0
056228-F,Kesley,Jeyes,3/3/1989,Female,MINCOM,C,3190629,467943,1884624719,1
941831-I,Sig,Voce,10/26/1996,Male,MINSEC,B,26965049,2975456,496910882,1
679071-F,Brittni,Beynon,3/29/1996,Female,MINSUP,C,7219221,4420353,1386708212,1
870498-D,Kiley,Trittam,10/6/1997,Male,MINSEC,A,12981804,4042182,1388158016,0
298175-A,Carmelia,Otto,2/19/1989,Female,MINCOM,D,26153158,175858,1448173603,1
299574-V,Padget,Dobrovsky,12/4/1977,Male,MINSEC,B,21113435,1945153,416477763,1
026723-W,Alick,Munkley,8/9/1970,Genderqueer,MINREX,D,25471353,4127405,595819440,1
262320-M,Cris,Shearman,12/9/1993,Female,MINCOM,B,5759076,3134047,1453733005,0
191851-W,Gaultiero,Boutcher,12/14/2000,Male,MINREX,C,665959,1845586,55120956,0
865451-X,Devina,Colvill,5/10/1979,Bigender,MINSEC,C,22352919,5511115,1733524047,1
819848-A,Torrin,Cron,3/11/1997,Male,MINCOM,C,5522094,1353069,1900216637,1
867801-I,Scott,Halvosen,9/9/1994,Male,MINCOM,D,18643181,4629374,912698385,0
795098-N,Jillayne,Becerro,10/23/1972,Female,MINSUP,A,3094293,1809321,197348817,1
812422-U,Sinclair,Brun,8/13/1994,Male,MINEDUB,C,12294206,400911,222563459,1
316787-N,Manfred,Grene,10/11/1998,Male,MINFI,A,21357239,1379715,1321816686,1
871482-O,Victor,Gullberg,4/4/1995,Male,MINCOM,C,22813102,603410,1743008913,0
420908-P,Isabella,Riches,5/2/1994,Female,MINEDUB,D,5728513,1665747,1148270779,1
867317-C,Dulcy,Satteford,5/17/1981,Female,MINEDUB,B,17135004,2238144,319076996,0
279315-I,Dorie,McMeanma,7/18/1973,Agender,MINSEC,C,12509094,1933256,646295712,0
979086-E,Hewitt,Roblett,6/29/1976,Male,MINSUP,B,1121839,834121,1451934164,0
287489-T,Arin,Thomann,11/7/1989,Male,MINSEC,A,1877432,5415354,394554497,1
186950-W,Inga,Taylorson,9/21/1995,Female,MINEDUB,B,24464812,5572844,1465057188,1
215691-Q,Pet,Seabourne,8/2/1999,Female,MINSUP,D,24781054,2049797,1722413238,0
970546-U,Tully,Kirkam,4/1/1986,Genderqueer,MINSEC,D,17828439,3199283,1754996352,1
164128-G,Berenice,Whatsize,7/2/1998,Female,MINREX,A,19988873,1320284,1542271385,1
300797-J,Izak,Elintune,12/6/1995,Male,MINFI,C,13307574,85215,1785524183,0
046114-J,Harriot,Catlin,2/19/2001,Female,MINCOM,B,3206630,4577707,145525080,0
212836-F,Sean,Clutton,5/27/1977,Male,MINSEC,C,28643502,3924884,868527145,1
472913-S,Derrick,Larose,10/11/1993,Male,MINSUP,B,26555902,3114789,1560039775,0
177746-W,Crista,Gidney,9/22/2002,Female,MINREX,C,26779021,2762624,1782948622,0
757050-M,Ricca,Lewsley,6/11/1978,Female,MINFI,A,2755177,3146506,1987187022,0
476172-F,Bailey,Tufts,1/11/1994,Male,MINEDUB,B,1879812,4736834,1950519427,1
310591-M,Knox,Gammons,12/10/1984,Male,MINSEC,A,8025680,2403276,1839709302,1
031817-E,Farley,Larret,9/12/1993,Male,MINSUP,D,14923380,1503925,1501062263,1
188820-R,Bink,Shapera,8/6/1980,Male,MINREX,A,12048215,2901400,346585702,1
315810-M,Korry,Mainz,11/16/1995,Female,MINREX,A,9391191,5223789,1020078922,0
705229-R,Warden,Pedrocco,9/22/1976,Male,MINEDUB,D,3749096,4237608,370330256,1
977062-X,Genovera,Klimushev,7/1/1975,Female,MINSUP,C,14626593,232826,1244164572,1
295002-H,Shell,Cuchey,4/13/1972,Female,MINSUP,C,309259,5218896,1719627729,0
239410-D,Arnoldo,Daskiewicz,8/13/1971,Male,MINSUP,B,14153121,341453,316025638,0
323210-Y,Padriac,Morrilly,5/3/1997,Male,MINSEC,D,11325946,5889616,440220934,1
366655-U,Babbie,Griston,3/23/1986,Female,MINFI,D,10413044,100158,1054604311,1
256237-F,Libby,Roxburch,9/12/1989,Female,MINSUP,A,24268166,2380271,1515463887,0
926418-P,Field,Rodgman,5/8/1977,Male,MINFI,C,29087698,2515945,1530525012,0
749349-M,Ilyse,Fortoun,9/25/1987,Female,MINSEC,B,17263482,997609,481126361,1
135283-X,Annabella,Le Monnier,3/10/1974,Female,MINFI,C,22959987,1209993,272217487,1
072001-R,Wynne,Sisson,4/7/1977,Female,MINFI,D,22163703,1002535,890739475,0
184113-Y,Chlo,Pudan,5/24/1981,Female,MINFI,A,549321,2363327,1757537066,1
669306-H,Penrod,Hendren,9/22/1972,Male,MINEDUB,D,11032802,1605283,193398496,1
181025-A,Berky,Honatsch,5/26/1972,Male,MINFI,D,13244944,217119,1455814955,0
